Asset,Expected_Return_Annual
IDBI,-0.09312116125202473
IFBAGRO,0.16587855893150924
IFBIND,0.1607629675399309
IFCI,-0.13784079317020925
IGL,0.1655854562123181
IGPL,0.229177630586566
IIFL,0.15017885447034887
IITL,-0.05126830125067139
IL&FSENGG,-0.22246221326359386
IMFA,0.009740741464713844
IMPAL,0.09527020280424206
INDBANK,0.060219565545704394
INDIACEM,0.060166298764198746
INDIANB,0.015568319238336077
INDORAMA,-0.0357843332070752
INDOTECH,0.010739327607168917
INDOWIND,-0.03724148946548689
INDRAMEDCO,0.07210855158267368
INDTERRAIN,0.0946616814142597
INDUSINDBK,0.12435877095819002
INFY,0.10998535939019538
INGERRAND,0.14741197588374488
INSECTICID,0.10366481197071692
INVENTURE,-0.08446386312027532
IOC,0.03964210182896753
IRB,0.03419251887041088
ISFT,0.04436340508878485
ITC,0.10118425122442024
ITI,0.08613209623280198
IVC,-0.10185112226962595
IZMO,0.14210053137328768
J&KBANK,-0.04403950858543644
JAICORPLTD,-0.027312430084544245
JAMNAAUTO,0.17240879027738576
JAYAGROGN,0.11122733254399715
JAYBARMARU,0.10977781453271179
JAYNECOIND,-0.006040294111463255
JAYSREETEA,-0.05443593035350523
JBCHEPHARM,0.25862553696205937
JINDALSTEL,-0.01277840375140739
JINDRILL,-0.03930361633418693
JINDWORLD,0.19148076904239986
JISLDVREQS,-0.14451307744603079
JISLJALEQS,-0.163724776706506
JKCEMENT,0.2577813078245119
JKIL,0.10820180895005488
JKLAKSHMI,0.22934423595482933
JKTYRE,0.18126215573790894
JMFINANCIL,0.08646369601941233
JOCIL,0.01551618175126052
JPASSOCIAT,-0.1993767568575625
JPPOWER,-0.15914294226785036
JTEKTINDIA,0.15907482333989106
JUBLFOOD,0.17617967098899842
JUBLPHARMA,0.052497440984943994
JWL,0.1007084746471047
JYOTISTRUC,-0.20960614130305652
KAJARIACER,0.2896262601440766
KAKATCEM,0.0840425378882237
KANANIIND,-0.11133070826779444
KANORICHEM,0.1286261164456215
KARMAENG,0.03393901574213665
KAUSHALYA,-0.09015028103326939
KAVDEFENCE,-0.24312320307868146
KCP,0.11263456500777559
KCPSUGIND,0.030907467782943364
KECL,0.03710190967120662
KEI,0.36481622162443345
KICL,0.06974193751336277
KIRLOSBROS,0.09635555525013925
KIRLOSENG,0.07791637113118056
KIRLOSIND,0.15828773969599286
KKCL,0.12139718088726195
KMSUGAR,0.16031131778964883
KNRCON,0.2746759228108146
KOHINOOR,0.0011859929561301285
KOKUYOCMLN,0.03196648709918142
KOLTEPATIL,0.15932578412785947
KOPRAN,0.12069366250040282
KOTARISUG,0.14606483056788727
KOTHARIPET,0.19447166273880298
KPRMILL,0.2974230470351448
KRBL,0.21872459899348648
KSCL,0.1736327351945089
KTKBANK,0.06696318755284521
LGBBROSLTD,0.2034616400400599
LINDEINDIA,0.22648493124547764
LOKESHMACH,0.0853084028402222
LOTUSEYE,0.141795650843718
LOVABLE,-0.0728471371462695
LPDC,0.0572899817429853
LT,0.09551706867634989
LTFOODS,0.2572934395411125
LUMAXTECH,0.193598259970524
LYKALABS,0.12767870817730123
M&M,0.10638938241947969
M&MFIN,0.08752899959019451
MAANALU,0.2482672049218234
MADHAV,0.05706881743365221
MADHUCON,-0.26264373403601815
MAHABANK,-0.06922020943173353
MANAKSIA,0.10031364714518283
MANALIPETC,0.14081588870401757
MANAPPURAM,0.05296272415800135
MANGLMCEM,0.07197319026039666
MANINFRA,0.1188311289750857
MANUGRAPH,-0.10521926623123143
MARALOVER,0.10810956417082382
MARKSANS,0.27655292652226116
MARUTI,0.16202258470726802
MASTEK,0.3069940791271315
MAWANASUG,0.11403381908404572
MAYURUNIQ,0.13483451005406452
MBLINFRA,-0.1390983826446286
MCLEODRUSS,-0.22995393285528878
MFSL,0.15291184766241697
MHRIL,0.046469130678123145
MINDACORP,0.1405584238177959
MIRCELECTR,-0.021998813964087923
MIRZAINT,0.2225800073759843
MMFL,0.23489490065279414
MMTC,-0.25729726646699247
MOIL,-0.020890264884580647
MORARJEE,0.005993013694688493
MOREPENLAB,0.1269791851581998
MOTHERSON,0.1390982886378574
MOTILALOFS,0.12824485330795432
MPSLTD,0.29144954028873093
MRPL,-0.00800575737946072
MSPL,-0.164194474239712
